run_id,date,year,name,tests,tests_executed,regression_tests,regression_executed,is_regression,passed,failed
28066,2026-07-09,2026,ITS-295530 - K&F - Syncasso verdeelt 1 mutatie in meerdere boekingen bij een debiteur,1,1,0,0,False,1,0
28059,2026-07-09,2026,KFDO-1024 ZISU_BULK_EA61_PROCESSING - TA bepaling op basis van opnamestatus 'niet gefactureerd' werkt niet 100%,4,4,0,0,False,4,0
28057,2026-07-08,2026,ITS-305171 - Overdracht EIB Flanderijn - Syncasso,6,6,0,0,False,6,0
28056,2026-07-08,2026,KFDO-874/KFDO-1018 Wegschrijven meterstanden.,7,7,0,0,False,5,0
28014,2026-07-07,2026,ITS-314398 - Change - K&F - Segment F280_OPEN_AMOUNT niet staat in  iDoc (Variant Rekeningnummer is toegevoegd),3,3,0,0,False,3,0
28010,2026-07-06,2026,ISS Betalingsregeling & Totaal Openstaand Bedrag,18,13,0,0,False,10,1
28001,2026-07-03,2026,KFDO-872 / KFDO-873 EBF deel 2 EA21 + herberekening standen S4,12,12,0,0,False,12,0
27982,2026-07-01,2026,KDFO-16 EBF correcties versnelling 2,17,17,0,0,False,16,0
27976,2026-06-30,2026,Test Run 30-6-2026,1,1,0,0,False,1,0
27937,2026-06-26,2026,KFDO-860 Bol wordt in rekening gebracht terwijl er een een 0 tarief in staat Maand AMR,1,1,0,0,False,1,0
27919,2026-06-25,2026,ITS-316195 - Change - K&F - Systeem voegt rekeningnummer toe bij klanten terwijl rek. nr. al bekend is,5,5,3,3,True,5,0
27917,2026-06-25,2026,ITS-315699 - PRETEST - K&F - Klanten die overgedragen zijn waarbij door het creeen van een deelpositie er geen aanmaanhistorie is en geen W100 meer,3,3,0,0,False,2,1
27899,2026-06-24,2026,ITS-309413 Change - Betalingsregeling/betalingsbelofte wordt niet automatisch verwijderd,1,1,0,0,False,1,0
27885,2026-06-23,2026,ITS-310293 - Change - uitzoeken waarom 2 contractrekeningen niet verder gaan in het incassoproces,12,12,0,0,False,12,0
27839,2026-06-19,2026,Change - K&F - Voorrijkosten onterecht opgeboekt,2,2,0,0,False,2,0
27827,2026-06-18,2026,ITS-315795 - Change - K&F - Tickets in W060 en W080 worden niet gesloten,3,3,0,0,False,3,0
27816,2026-06-18,2026,"K&F - Change Aanpassing uitvalrouting naar “Betalen en Innen""",1,1,0,0,False,1,0
27797,2026-06-17,2026,KFDO-103 KF-256 Inzicht in meterstanden buiten Tolerantie per Segment oplossing bouw,2,2,0,0,False,2,0
27795,2026-06-17,2026,KFDO-16 Analyse/ optie verder automatiseren BOL correctie EBF facturatie,13,13,0,0,False,11,0
27728,2026-06-15,2026,Verzamelfacturen en individuele facturen gaan onterecht gezamenlijk naar W040,1,1,0,0,False,1,0
27718,2026-06-12,2026,Change - K&F - Vroegsignalering klanten met 0-bedragen worden aangeleverd,4,4,1,1,True,4,0
27709,2026-06-11,2026,"KFDO-579 Als Evitens wil ik dat binnen een beperkte bandbreedte zijn termijnbedrag mag wijzigen, zodat...",5,5,0,0,False,5,0
27373,2026-04-20,2026,KFDO-280 - EIB API - Rapportages testen,8,8,0,0,False,8,0
27225,2026-04-08,2026,ITS-308435 regressie F301,22,22,0,0,False,15,0
27170,2026-03-31,2026,ITS-308135 Change - Lekvergoeding; voor validatie geschatte standen moet er alleen naar het huidige contract worden gekeken,3,3,0,0,False,3,0
27152,2026-03-30,2026,ITS-307964 Change - K&F - Branche niet invullen in de EA16,2,2,0,0,False,2,0
27128,2026-03-27,2026,ITS-307172 K&F - Change: Uitfaseren SMS in reminderservice,2,2,2,2,True,2,0
27127,2026-03-27,2026,S34-4067 Bulk voorschotplan herkenning TA + VSP al aanwezig,9,9,4,4,True,9,0
27067,2026-03-23,2026,S34-3863 Controle type eigenaar,2,2,0,0,False,2,0
27066,2026-03-23,2026,S34-3862 Ophalen gegevens Kadaster,3,3,0,0,False,3,0
26999,2026-03-20,2026,S34-4062 Dump EA20 tijdens bulk voorschotplan storneren afrekening,1,1,0,0,False,1,0
