ts,system,entity,event,phase,detail
2025-03-31T12:58:25.030000,jira,S34-2907,created,backlog,SIMPEL: W040 De business logica op grensbedrag en niet actie
2025-03-31T13:22:41.005000,jira,S34-2907,status → To Do,backlog,"Buijtenhuis, Jan"
2025-12-03T13:54:11.027000,jira,S34-3575,created,backlog,Testen 1 week (incl)
2025-12-03T13:57:04.220000,jira,S34-3576,created,backlog,Testvoorbereiding Key Users
2025-12-03T13:57:15.463000,jira,S34-3577,created,backlog,Bestaalstapel klant factuuur enz
2025-12-16T11:21:37.990000,jira,S34-2907,status → In Progress,prep,"Westerbeek, Bart"
2025-12-18T10:47:45.395000,jira,S34-3575,status → In Progress,prep,Testen 1 week (incl)
2025-12-18T10:47:46.798000,jira,S34-3576,status → In Progress,prep,Testvoorbereiding Key Users
2025-12-18T10:47:49.141000,jira,S34-3577,status → In Progress,prep,Bestaalstapel klant factuuur enz
2025-12-18T14:04:23.009000,jira,S34-3577,status → Resolved,prep,Bestaalstapel klant factuuur enz
2025-12-18T14:04:25.734000,jira,S34-3576,status → In testing,prep,Testvoorbereiding Key Users
2025-12-18T14:04:28.484000,jira,S34-3575,status → In testing,prep,Testen 1 week (incl)
2026-01-05T09:17:19.692000,jira,S34-3576,status → Resolved,prep,Testvoorbereiding Key Users
2026-01-19T09:12:13.522000,jira,S34-2907,status → In testing,prep,"Westerbeek, Bart"
2026-01-22T17:12:33.627000,jira,S34-3577,status → Done,prep,Bestaalstapel klant factuuur enz
2026-01-26T16:50:51,testrail,run 26442,result note,execution,test 40863459
2026-01-26T16:50:51,testrail,run 26442,result note,execution,test 40863458
2026-01-26T16:50:51,testrail,run 26442,result note,execution,test 40863418
2026-01-26T16:50:51,testrail,run 26442,result note,execution,test 40863457
2026-01-26T16:50:51,testrail,run 26442,result note,execution,test 40863456
2026-01-26T16:50:51,testrail,run 26442,result note,execution,test 40863417
2026-01-26T16:52:27,testrail,run 26442,result note,execution,test 40863414
2026-01-26T16:52:27,testrail,run 26442,result note,execution,test 40863455
2026-01-26T16:52:27,testrail,run 26442,result note,execution,test 40863422
2026-01-26T16:52:27,testrail,run 26442,result note,execution,test 40863415
2026-01-26T16:52:27,testrail,run 26442,result note,execution,test 40863406
2026-01-26T16:54:57,testrail,run 26442,result note,execution,test 40863461
2026-01-26T16:54:57,testrail,run 26442,result note,execution,test 40863460
2026-01-26T16:54:57,testrail,run 26442,result note,execution,test 40863451
2026-01-26T16:54:57,testrail,run 26442,result note,execution,test 40863450
2026-01-26T16:54:57,testrail,run 26442,result note,execution,test 40863447
2026-01-26T16:54:57,testrail,run 26442,result note,execution,test 40863446
2026-01-26T16:54:57,testrail,run 26442,result note,execution,test 40863438
2026-01-26T16:54:57,testrail,run 26442,result note,execution,test 40863436
2026-01-26T16:54:57,testrail,run 26442,result note,execution,test 40863435
2026-01-26T16:54:57,testrail,run 26442,result note,execution,test 40863434
2026-01-26T16:54:57,testrail,run 26442,result note,execution,test 40863433
2026-01-26T16:54:57,testrail,run 26442,result note,execution,test 40863432
2026-01-26T16:54:57,testrail,run 26442,result note,execution,test 40863431
2026-01-26T16:54:57,testrail,run 26442,result note,execution,test 40863430
2026-01-26T16:54:57,testrail,run 26442,result note,execution,test 40863429
2026-01-26T16:54:57,testrail,run 26442,result note,execution,test 40863413
2026-01-26T16:54:57,testrail,run 26442,result note,execution,test 40863448
2026-01-26T16:54:57,testrail,run 26442,result note,execution,test 40863444
2026-01-26T16:54:57,testrail,run 26442,result note,execution,test 40863445
2026-01-26T16:55:46,testrail,run 26442,result note,execution,test 40863420
2026-01-27T12:15:15,testrail,run 26442,result passed,execution,test 40863445
2026-01-27T18:20:24,testrail,run 26442,result test_in_progress,execution,test 40863413
2026-01-29T13:57:22,testrail,run 26442,result passed,execution,test 40863460
2026-01-29T14:07:02,testrail,run 26442,result passed,execution,test 40863461
